+ tadeusz_cybulko Tadeusz Cybulko
+ jozef_rivoli Józef Rivoli
+ jan_meixner Jan Meixner
+ konstanty_stecki Konstanty Stecki
+ boguslaw_fruzinski Bogusław Fruziński
+ julian_rafalski Julian Rafalski
- stanislaw_runge Stanisław Runge
- kazimierz_gawecki Kazimierz Gawęcki
* karol_manka Karol Mańka
wladyslaw_smosarski Władysław Smosarski
* stanislaw_stryla Stanisław Stryła
